bus_name_origen,nombre_geosadi,nemo,carrier,p_nom,costo_marginal_match,fuente_costo,CVP_manual,
YACYHI08,YACYRETA,YACYHI,hydro,132.525,PENDIENTE,,,
YACYHI05,YACYRETA,YACYHI,hydro,132.525,PENDIENTE,,,
YACYHI06,YACYRETA,YACYHI,hydro,132.525,PENDIENTE,,,
YACYHI11,YACYRETA,YACYHI,hydro,132.525,PENDIENTE,,,
YACYHI04,YACYRETA,YACYHI,hydro,132.525,PENDIENTE,,,
YACYHI03,YACYRETA,YACYHI,hydro,132.525,PENDIENTE,,,
YACYHI10,YACYRETA,YACYHI,hydro,132.525,PENDIENTE,,,
YACYHI14,YACYRETA,YACYHI,hydro,132.525,PENDIENTE,,,
YACYHI12,YACYRETA,YACYHI,hydro,132.525,PENDIENTE,,,
YACYHI13,YACYRETA,YACYHI,hydro,132.525,PENDIENTE,,,
YACYHI20,YACYRETA,YACYHI,hydro,132.525,PENDIENTE,,,
YACYHI19,YACYRETA,YACYHI,hydro,132.525,PENDIENTE,,,
YACYHI15,YACYRETA,YACYHI,hydro,132.525,PENDIENTE,,,
YACYHI18,YACYRETA,YACYHI,hydro,132.525,PENDIENTE,,,
YACYHI16,YACYRETA,YACYHI,hydro,132.525,PENDIENTE,,,
YACYHI02,YACYRETA,YACYHI,hydro,132.525,PENDIENTE,,,
YACYHI17,YACYRETA,YACYHI,hydro,132.525,PENDIENTE,,,
TUCUTV01,C.T. TUCUMAN,TUCU,ccgt,140.128,SI,CVP_TERMICA,,
SORRTV13,SORRENTO,SORR,steam,84.78,SI,CVP_TERMICA,,
PILATG12,PILAR,PILA,ocgt,162.7209,SI,CVP_TERMICA,,
PILATG11,PILAR,PILA,ocgt,163.9949,SI,CVP_TERMICA,,
SMTUTV01,S.M. DE TUCUMAN,SMTU,ccgt,136.9,SI,CVP_TERMICA,,
ALGRFV01,P.S. ALGARROBO,ALGRFV,solar,5.6,NO,mater,64.7,
PNUETV07,PUERTO NUEVO,PNUE,steam,114.7145,SI,CVP_TERMICA,,
TUCUTG02,C.T. TUCUMAN,TUCU,ccgt,143.21,SI,CVP_TERMICA,,
TUCUTG01,C.T. TUCUMAN,TUCU,ccgt,143.21,SI,CVP_TERMICA,,
BLOPTV01,BRIGAD. LOPEZ,BLOP,ccgt,92.0757,SI,CVP_TERMICA,,
ANPCFV01,P.S. ANCHIPURAC,ANPCFV,solar,3,NO,mater,61.1,
SGDEHI01,S. GRANDE ARG,SGDEHIAR,hydro,64.3571,PENDIENTE,,,
