gen_key,bus_id_origen,bus_name_origen,nombre_geosadi,carrier,pg_mw,pt_mw,stat,lat,lon,geo_match,match_type,bus_conexion500kv,bus_conexion500kv_name,n_saltos,camino
7604-26,7604,LDCUTG26,,ocgt,35.0,45.0,1,,,a_revisar,bfs,7216.0,GRAN MZA_132kV,3,LDCUTG26 -> LUJ.CUYO -> CRUZPIED -> GRAN MZA
7605-27,7605,LDCUTG27,,ocgt,35.0,45.0,1,,,a_revisar,bfs,7216.0,GRAN MZA_132kV,3,LDCUTG27 -> LUJ.CUYO -> CRUZPIED -> GRAN MZA
7607-1,7607,QUEMFV01,,solar,80.0,100.0,1,,,sin_match,bfs,7104.0,GRAN MZA_220kV,5,QUEMFV01 -> EQEUM33_03 -> EQEUM33_01 -> ELQUEMADO -> CRUZPIED -> GRAN MZA
7627-1,7627,QUEMFV02,,solar,80.0,100.0,1,,,sin_match,bfs,7104.0,GRAN MZA_220kV,5,QUEMFV02 -> EQEUM33_04 -> EQEUM33_02 -> ELQUEMADO -> CRUZPIED -> GRAN MZA
7634-1,7634,SRAFFV01,,solar,80.0,100.0,1,,,sin_match,bfs,7104.0,GRAN MZA_220kV,5,SRAFFV01 -> PSSR33_01 -> PSSR33 -> A.TORO -> REYUNOS -> GRAN MZA
7635-1,7635,SRAFFV02,,solar,80.0,100.0,1,,,sin_match,bfs,7104.0,GRAN MZA_220kV,5,SRAFFV02 -> PSSR33_02 -> PSSR33 -> A.TORO -> REYUNOS -> GRAN MZA
7636-1,7636,MARCAFV01,,solar,4.0,5.0,1,,,sin_match,bfs,7216.0,GRAN MZA_132kV,9,MARCAFV01 -> PSMARCA_02 -> PSMARCA_01 -> PSMARCA -> EL.MARCADO -> LAMBARE -> PIQ.MCAS -> MCAS66_01 -> MCAS.CUY -> GRAN MZA
7639-1,7639,ACONFV,,solar,21.6,27.0,1,,,sin_match,bfs,7216.0,GRAN MZA_132kV,5,ACONFV -> ACONFV_13 -> LUJ.CUYO13 -> LUJ.CUYO -> CRUZPIED -> GRAN MZA
7641-1,7641,LMOLFV,,solar,60.0,90.0,1,,,sin_match,bfs,7104.0,GRAN MZA_220kV,12,LMOLFV -> CEQ33 -> LOSMOLLES33 -> MOLLES132 -> LOS MOLLES -> PU.ROJAS -> SOSNEADO -> NIHUIL 1 -> NIHUIL 2 -> NIHUIL -> A.TORO -> REYUNOS -> GRAN MZA
7642-2,7642,LDCUTG22,,ccgt,20.0,28.8,1,,,a_revisar,bfs,7216.0,GRAN MZA_132kV,3,LDCUTG22 -> LUJ.CUYO -> CRUZPIED -> GRAN MZA
