bus_id,bus_name,bus_name_psse,baskv_kv,ide,ide_desc,vm_pu,va_deg,parent_bus_id
4282,R.OESTE_132kV_1,ROS.OES2,132.0,1,PQ,,,4000
4284,R.OESTE_132kV_2,ROS.OES3,132.0,1,PQ,,,4000
4294,SGDE.ARG_132kV_1,SGDE.ARG1,132.0,1,PQ,,,4008
4295,SGDE.ARG_132kV_2,SGDE.ARG2,132.0,1,PQ,,,4008
4312,S.TOME_132kV_1,S.TOME 1,132.0,1,PQ,,,4010
4313,S.TOME_132kV_2,S.TOME 2,132.0,1,PQ,,,4010
4390,R.COROND_132kV,R.COROND,132.0,1,PQ,,,4002
4501,GRAN.PNA_33kV_1,GPNA.TER1,33.0,1,PQ,,,4009
4508,GRAN.PNA_33kV_2,GPNA.TER2,33.0,1,PQ,,,4009
4527,R.OESTE_33kV,ROS.TER7,33.0,1,PQ,,,4000
4601,SGAC1500_13.8kV_1,SGDEHI01,13.8,2,PV - generador activo,,,4012
4602,SGAC1500_13.8kV_2,SGDEHI02,13.8,2,PV - generador activo,,,4012
4603,SGAC2500_13.8kV_1,SGDEHI03,13.8,2,PV - generador activo,,,4013
4604,SGAC2500_13.8kV_2,SGDEHI04,13.8,2,PV - generador activo,,,4013
4605,SGAC3500_13.8kV_1,SGDEHI05,13.8,2,PV - generador activo,,,4014
4606,SGAC3500_13.8kV_2,SGDEHI06,13.8,2,PV - generador activo,,,4014
4613,SGAC4500_13.8kV_1,SGDEHI13,13.8,4,isolated - unidad parada en snapshot,,,4015
4615,SGAC4500_13.8kV_2,SGDEAU15,13.8,4,isolated - unidad parada en snapshot,,,4015
4624,TERMINAL_500_20kV,TER6TG11,20.0,2,PV - generador activo,,,4018
4691,R.COROND_15.8kV_1,VOBLTG01,15.75,2,PV - generador activo,,,4002
4692,R.COROND_15.8kV_2,VOBLTG02,15.75,2,PV - generador activo,,,4002
4693,R.COROND_15.8kV_3,VOBLTV01,15.75,2,PV - generador activo,,,4002
4695,R.COROND_20kV_1,TIMBTG01,20.0,2,PV - generador activo,,,4002
4696,R.COROND_20kV_2,TIMBTG02,20.0,2,PV - generador activo,,,4002
4697,R.COROND_20kV_3,TIMBTV01,20.0,2,PV - generador activo,,,4002
4800,C.ELIA_13.2kV_1,CEL.TER1,13.2,1,PQ,,,4004
4802,ROMANG_33kV_1,ROMA.TER1,33.0,1,PQ,,,4006
4805,R.OESTE_13.8kV_1,ROS.TER3,13.8,1,PQ,,,4000
4806,R.OESTE_13.8kV_2,ROS.TER4,13.8,4,isolated - unidad parada en snapshot,,,4000
4807,R.OESTE_13.8kV_3,ROS.TER5,13.8,1,PQ,,,4000
4808,SGDE.ARG_13.8kV_1,SGRATER1,13.8,1,PQ,,,4008
4809,S.TOME_13.8kV_1,STO.TER1,13.8,1,PQ,,,4010
4810,S.TOME_13.8kV_2,STO.TER2,13.8,1,PQ,,,4010
4813,S.TOME_13.8kV_3,STO.TER3,13.8,1,PQ,,,4010
4814,SGDE.ARG_13.8kV_2,SGRATER2,13.8,1,PQ,,,4008
4825,ROMANG_33kV_2,ROMA.TER2,33.0,1,PQ,,,4006
4826,C.ELIA_13.2kV_2,CEL.TER2,13.2,1,PQ,,,4004
4850,R.OESTE_13.8kV_4,ROS.TER6,13.8,1,PQ,,,4000
4851,R.COROND_33kV,RCOR.TER,33.0,1,PQ,,,4002
4960,R.OESTE_132kV_3,I3_TF3,132.0,1,PQ,,,4000
