gen_key,bus_name_origen,geosadi_name,nemo,bus_conexion500kv,bus_conexion500kv_name,carrier,p_nom,lat,lon,marginal_cost
7630-1,ZONDFV01,P.S. ZONDA I,ZONDFV,7203.0,NVA.SJUAN_132kV,solar,101.0,-30.60681081,-69.33857444,
2678-1,ENE1EO01,P.E. ENERGETICA I,ENE1EO,2206.0,B.BLANCA_132kV_1,wind,78.0,-38.35734287,-62.21930647,44.6333
8649-2,AR22EO01,P.E. ARAUCO II (ETAPAS 3 Y 4),AR22EO,8271.0,RIOJASUR_132kV,wind,33.9117,-28.73821571,-66.71563144,80.1833
2662-1,MIRAEO01,P.E. MIRAMAR,MIRAEO,2298.0,OLAVARRI_132kV_2,wind,98.6,-38.22607832,-58.04823131,66.5833
7653-3,LDCUTV15,LUJAN DE CUYO,LDCU,7216.0,GRAN MZA_132kV,ccgt,90.59,-33.05568314,-68.98082788,60.65
652-1,LHEREO01,PE LOS HERCULES,LHEREO,461.0,SCN_500_132kV,wind,98.0,-46.63108586,-68.38525915,73.9
4625-1,TER6TV21,COG Terminal 6,TER6,4390.0,R.COROND_132kV,steam,84.1879,-32.6647019,-60.75010668,34.6
2911-1,GNV1EO01,P.E. LA GENOVEVA,GNV1EO,2206.0,B.BLANCA_132kV_1,wind,88.2,-38.55533018,-61.94429524,48.25
3688-1,LPLCTG01,CG La Plata YPF,LPLC,3100.0,ABASTO_220kV,ocgt,82.5383,-34.8944965,-57.92037371,36.7
1683-3,PPLEHI03,PICHI P. LEUFU,PPLEHI,1683.0,PPLEUFU_13.8kV_3,hydro,95.0,-40.01250879,-69.98495141,
1682-2,PPLEHI02,PICHI P. LEUFU,PPLEHI,1682.0,PPLEUFU_13.8kV_2,hydro,95.0,-40.01250879,-69.98495141,
1681-1,PPLEHI01,PICHI P. LEUFU,PPLEHI,1681.0,PPLEUFU_13.8kV_1,hydro,95.0,-40.01250879,-69.98495141,
675-1,RAW1EO,RAWSON I  ENARSA,RAW1EO,224.0,NPMADRYN_330kV,wind,53.0,-43.34509653,-65.1855122,62.1
7633-1,IGLEFV01,P.S. IGLESIA GUAÑIZUL,IGLE,7203.0,NVA.SJUAN_132kV,solar,81.0,-30.35659426,-69.29086894,
2687-4,VGESTG18,VILLA GESELL,VGES,2410.0,VIVORATA_132kV,ocgt,80.0,-37.2489621,-56.9976082,50.7
7629-1,SULLFV01,P.S. SIERRAS DEL ULLUM (MATER),SULLFV,7203.0,NVA.SJUAN_132kV,solar,78.0,-31.37741933,-68.66622496,48.5333
2671-1,SNICTV11,SAN NICOLAS,SNIC,2105.0,RAMALLO_220kV,steam,49.05,-33.3562093,-60.17302726,62.6
2672-2,SNICTV12,SAN NICOLAS,SNIC,2105.0,RAMALLO_220kV,steam,47.9,-33.3562093,-60.17302726,62.0
7601-1,ADTOHI01,AGUA DEL TORO,ADTOHI,7104.0,GRAN MZA_220kV,hydro,75.0,-34.57938892,-68.98946561,
2673-3,SNICTV13,SAN NICOLAS,SNIC,2105.0,RAMALLO_220kV,steam,42.8,-33.3562093,-60.17302726,53.8
7602-2,ADTOHI02,AGUA DEL TORO,ADTOHI,7104.0,GRAN MZA_220kV,hydro,75.0,-34.57938892,-68.98946561,
679-1,PMA1EO01,P. MADRYN I ENARSA,PMA1EO,221.0,NPMADRYN_132kV,wind,75.0,-42.70545678,-65.22969699,93.0667
7637-1,TOC3FV,P.S. TOCOTA III (MATER),TOC3FV,7203.0,NVA.SJUAN_132kV,solar,60.0,-30.81764444,-69.47174444,0.0
2613-3,NECOTV03,NECOCHEA,NECO,2410.0,VIVORATA_132kV,steam,61.62,-38.5784929,-58.71045013,57.4
2614-4,NECOTV04,NECOCHEA,NECO,2298.0,OLAVARRI_132kV_2,steam,46.1,-38.5784929,-58.71045013,57.4
2674-4,SNICTV14,SAN NICOLAS,SNIC,2327.0,RAMALLO_132kV,steam,43.7,-33.3562093,-60.17302726,59.8
