gen_key,bus_name_origen,nombre_geosadi,nemo,bus_conexion500kv,bus_conexion500kv_name,carrier,p_nom,lat,lon,n_saltos,camino
5609-1,PINFFV01,P.S. PAMPA DEL INFIERNO,PINFFV,5237.0,CHACO_132kV,solar,134.0,-26.49330827,-61.20080628,5,PINFFV01 -> PS.P.INF -> PS.P.INF -> P.INFIER -> PI.P.INF -> CHACO
1673-3,LDLATG03,CT NEUQUEN,LDLA,1673.0,L.LATA_11.5kV_3,ocgt,28.2553,-38.51265798,-68.60617036,0,
1672-2,LDLATG02,CT NEUQUEN,LDLA,1672.0,L.LATA_11.5kV_2,ocgt,28.2553,-38.51265798,-68.60617036,0,
1671-1,LDLATG01,CT NEUQUEN,LDLA,1671.0,L.LATA_11.5kV_1,ocgt,28.2553,-38.51265798,-68.60617036,0,
1630-1,ROCATG01,TERMOROCA,ROCA,1268.0,P.BAND._132kV,ocgt,84.7333,-38.94593521,-67.60085988,5,ROCATG01 -> T. ROCA -> C.ALLEN -> 5 SALTOS -> PPBAND -> P.BAND.
3601-1,COSTTV01,COSTANERA,COST,3110.0,EZEIZA_220kV_1,steam,21.6308,-34.62485385,-58.33970617,-1,
604-1,LEONEO01,PE CAÑADON LEON,LEON,461.0,SCN_500_132kV,wind,103.0,-46.58811447,-67.64421076,4,LEONEO01 -> C.LEON33_02 -> C.LEON33_01 -> C.LEON -> SCN_132
523-1,RTURTV01,RIO TURBIO,RTUR,117.0,ESPERANZ_220kV,steam,0.0,-51.54611976,-72.23114286,2,RTURTV01 -> R.TURBIO -> ESPERANZ
525-2,RTURTV02,RIO TURBIO,RTUR,117.0,ESPERANZ_220kV,steam,0.0,-51.54611976,-72.23114286,2,RTURTV02 -> R.TURBIO -> ESPERANZ
8614-2,SMTUTG02,S.M. DE TUCUMAN,SMTU,8614.0,BRACHO_15.7kV_1,ccgt,41.9045,-26.9934191,-65.16842295,0,
8640-3,CAU3FV01,P.S. CAUCHARI 3,CAU3FV,8120.0,COBOS_345kV,solar,105.0,-24.08620823,-66.71964002,-1,
8638-1,CAU1FV01,P.S. CAUCHARI 1,CAU1FV,8120.0,COBOS_345kV,solar,105.0,-24.10569637,-66.70784346,-1,
8639-2,CAU2FV01,P.S. CAUCHARI 2,CAU2FV,8120.0,COBOS_345kV,solar,105.0,-24.09710935,-66.71327361,-1,
2648-1,LCASEO01,P.E. LA CASTELLANA,LCASEO,2206.0,B.BLANCA_132kV_1,wind,100.8,-38.62858648,-62.70867806,7,LCASEO01 -> CAST33_02 -> CAST33_01 -> CASTELLA -> PI CHA-LCAS -> CHANARES -> NORTE II -> B.BCA 1
3602-2,COSTTV02,COSTANERA,COST,3110.0,EZEIZA_220kV_1,steam,20.3997,-34.62485385,-58.33970617,-1,
8600-1,SMTUTG01,S.M. DE TUCUMAN,SMTU,8614.0,BRACHO_15.7kV_1,ccgt,41.1943,-26.9934191,-65.16842295,-1,
7632-2,LREYHB02,LOS REYUNOS,LREYHB,7104.0,GRAN MZA_220kV,hydro,111.5,-34.60296358,-68.63840013,2,LREYHB02 -> REYUNOS -> GRAN MZA
7631-1,LREYHB01,LOS REYUNOS,LREYHB,7104.0,GRAN MZA_220kV,hydro,111.5,-34.60296358,-68.63840013,2,LREYHB01 -> REYUNOS -> GRAN MZA
1658-1,POM1EO01,P.E. POMONA I,POM1EO,1226.0,CH.CHOEL_132kV,wind,104.0,-39.55933427,-65.72693939,3,POM1EO01 -> POMO33_01 -> POMONA -> CH.CHOEL
6627-1,SLUNEO01,P.E. SAN LUIS NORTE,SLUNEO,6205.0,LUJAN.SL_132kV_1,wind,81.3027,-32.77535456,-66.34614068,5,SLUNEO01 -> CTE33 -> BARRIAL -> PPC_SLUNEO -> BARRIAL -> LUJAN.SL2
3603-3,COSTTV03,COSTANERA,COST,3110.0,EZEIZA_220kV_1,steam,19.6963,-34.62485385,-58.33970617,-1,
8603-2,PPNOTG02,PLUSPETROL NORT,PPNO,8525.0,BRACHO_34.5kV_3,ocgt,57.7785,-26.99548533,-65.16142254,-1,
8602-1,PPNOTG01,PLUSPETROL NORT,PPNO,8525.0,BRACHO_34.5kV_3,ocgt,57.7785,-26.99548533,-65.16142254,-1,
8654-1,GUEMTG01,GUEMES,GUEM,8300.0,JUANCITO_132kV,ocgt,37.5053,-24.68926954,-65.04172111,2,GUEMTG01 -> GUEMES -> JUANCITO
3665-5,NPUETV05,NUEVO PUERTO,NPUE,3122.0,RODRGUEZ_220kV_2,steam,21.6026,-34.57170662,-58.38211451,-1,
1677-5,LDLATG05,CT NEUQUEN,LDLA,1677.0,L.LATA_11.5kV_5,ocgt,23.8057,-38.51265798,-68.60617036,0,
8645-1,AR21EO01,P.E. ARAUCO II (ETAPA 1 Y 2),AR21EO,8271.0,RIOJASUR_132kV,wind,113.0,-28.71325137,-66.70538536,4,AR21EO01 -> ARA233_12 -> ARA233_01 -> ARAUCO_2 -> RIOJASUR
3605-5,BSASTV01,BUENOS AIRES,BSAS,3100.0,ABASTO_220kV,ccgt,60.4644,-34.62636803,-58.33730209,5,BSASTV01 -> COST.AZU -> COSTANER2 -> HUDSON -> BOSQUES -> ABASTO
1655-2,LCA2TG01,Loma Campana 2,LCA2,1268.0,P.BAND._132kV,ocgt,98.7344,-38.35980125,-68.71483939,6,LCA2TG01 -> CTL.CAMP -> L.CAMPAN -> L.LATA -> MEGA T -> PPBAND -> P.BAND.
1676-1,LCAMTG01,LOMA CAMPANA,LCAM,1268.0,P.BAND._132kV,ocgt,92.5195,-38.35956045,-68.71482424,6,LCAMTG01 -> CTL.CAMP -> L.CAMPAN -> L.LATA -> MEGA T -> PPBAND -> P.BAND.
8626-1,LPUNFV,P.S. La Puna,LPUNFV,8120.0,COBOS_345kV,solar,104.0,-24.14414793,-66.90156252,6,LPUNFV -> PUNA33_01 -> ALTI133_02 -> ALT133_05 -> LA PUNA -> ALTIPLANO -> COBOS
8627-1,ALT1FV,P.S. ALTIPLANO I,ALT1FV,8120.0,COBOS_345kV,solar,100.0,-24.15130602,-66.90133094,6,ALT1FV -> ALTI133_03 -> ALTI133_01 -> ALT133_04 -> LA PUNA -> ALTIPLANO -> COBOS
2913-1,BVENEO01,P.E. DE LA BUENA VENTURA,BVENEO,2298.0,OLAVARRI_132kV_2,wind,103.2,-38.10535213,-60.13014793,6,BVENEO01 -> BVENEO33_02 -> BVENEO33_01 -> VASQUEZ -> G.CHAVE1 -> CHILLAR -> OLAVARR2
