load_key,bus_id_origen,bus_name_origen,pl_mw,stat,match_type,bus_destino,bus_destino_name,n_saltos,camino
2520-1,2520,SA AREC2,8.4,0,bfs,2294,CAMPANA_132kV_2,3,SA AREC2 -> SA ARECO -> DCAM-VLI -> NCAMP2
2528-1,2528,LUJ-AUX,9.007,1,sin_conexion,,,-1,
2530-1,2530,SALIQUEL,6.247,1,bfs,2245,HENDERS2_132kV,4,SALIQUEL -> 3-LOMAS -> TLAUQUE2 -> TLAUQUE1 -> HENDERS2
2532-1,2532,BG I 66,12.83,1,bfs,2104,HENDERS2_220kV,4,BG I 66 -> BRAGADO -> BRAGADO1 -> BRAGADO -> HENDERSO
2534-1,2534,25MAYO66,9.762,1,bfs,2104,HENDERS2_220kV,4,25MAYO66 -> BRAGADO -> BRAGADO1 -> BRAGADO -> HENDERSO
2536-1,2536,LHERAS66,7.409,1,bfs,3365,RODRGUEZ_132kV_5,5,LHERAS66 -> LUJAN -> LUJANBA2 -> MALVIBA1 -> P.I. N1 -> RODRIG01
2538-1,2538,LOBOS 66,21.21,1,bfs,3365,RODRGUEZ_132kV_5,6,LOBOS 66 -> LHERAS66 -> LUJAN -> LUJANBA2 -> MALVIBA1 -> P.I. N1 -> RODRIG01
2540-1,2540,RIVAD 33,6.304,0,bfs,2245,HENDERS2_132kV,4,RIVAD 33 -> RIVADBA -> TLAUQUE1 -> TLAUQUE1 -> HENDERS2
2542-1,2542,RIVA13.2,0.0,1,bfs,2245,HENDERS2_132kV,4,RIVA13.2 -> RIVADBA -> TLAUQUE1 -> TLAUQUE1 -> HENDERS2
2544-1,2544,GVILLE33_01,11.612,1,bfs,2245,HENDERS2_132kV,3,GVILLE33_01 -> G.VILLEG -> PEHUAJO -> HENDERS2
2546-1,2546,GVILLE13_01,13.398,1,bfs,2245,HENDERS2_132kV,3,GVILLE13_01 -> G.VILLEG -> PEHUAJO -> HENDERS2
2549-1,2549,SALT.SEC,18.186,1,bfs,2293,25MAYO_1_132kV,5,SALT.SEC -> SALTO -> CHAC.IND -> CHACABUC -> BRAGADO2 -> 25MAY_01
2550-1,2550,SALT.TER,21.613,1,bfs,2293,25MAYO_1_132kV,5,SALT.TER -> SALTO -> CHAC.IND -> CHACABUC -> BRAGADO2 -> 25MAY_01
2557-1,2557,JUNI33_01,8.291,1,bfs,2104,HENDERS2_220kV,6,JUNI33_01 -> JUNIN 2 -> I.M.S.A. -> LINCOLN -> BRAGADO1 -> BRAGADO -> HENDERSO
2558-1,2558,JUNI13_01,30.239,1,bfs,2104,HENDERS2_220kV,6,JUNI13_01 -> JUNIN 2 -> I.M.S.A. -> LINCOLN -> BRAGADO1 -> BRAGADO -> HENDERSO
2560-1,2560,NOR.TER1,5.259,1,bfs,2206,B.BLANCA_132kV_1,2,NOR.TER1 -> NORTE II -> B.BCA 1
2561-1,2561,NOR.TER2,8.385,1,bfs,2206,B.BLANCA_132kV_1,2,NOR.TER2 -> NORTE II -> B.BCA 1
2562-1,2562,NORTE2_1,33.257,1,bfs,2206,B.BLANCA_132kV_1,2,NORTE2_1 -> NORTE II -> B.BCA 1
2573-1,2573,CHANARES,12.649,1,bfs,2206,B.BLANCA_132kV_1,3,CHANARES -> CHANARES -> NORTE II -> B.BCA 1
2574-1,2574,PUNTO_E,8.528,1,bfs,2206,B.BLANCA_132kV_1,4,PUNTO_E -> CHANARES -> CHANARES -> NORTE II -> B.BCA 1
2575-1,2575,ETANO,4.122,1,bfs,2206,B.BLANCA_132kV_1,5,ETANO -> PUNTO_E -> CHANARES -> CHANARES -> NORTE II -> B.BCA 1
2593-1,2593,NECO13_01,31.268,1,bfs,2298,OLAVARRI_132kV_2,4,NECO13_01 -> NECOCHE2 -> G.CHAVE1 -> CHILLAR -> OLAVARR2
2596-1,2596,PERG13_01,27.43,1,bfs,3120,RODRGUEZ_220kV_1,5,PERG13_01 -> PERGAMI2 -> RAMALLO1 -> RAMALLOB -> V. LIA -> RODRIGU1
2606-1,2606,ARGETG01,4.0,0,bfs,3120,RODRGUEZ_220kV_1,4,ARGETG01 -> ARGENER -> RAMALLOB -> V. LIA -> RODRIGU1
2607-1,2607,MDPATV07,1.265,1,bfs,2410,VIVORATA_132kV,6,MDPATV07 -> 9 JULIO -> ETSUR.TRANS2 -> ETSUR.MDP -> ETSUR.TRANS1 -> M.PLATA2 -> VIVORATA
2608-1,2608,MDPATV08,1.29,1,bfs,2410,VIVORATA_132kV,6,MDPATV08 -> 9 JULIO -> ETSUR.TRANS2 -> ETSUR.MDP -> ETSUR.TRANS1 -> M.PLATA2 -> VIVORATA
2610-1,2610,ATUCNUCL,22.0,1,bfs,3120,RODRGUEZ_220kV_1,3,ATUCNUCL -> ATUCHA 1 -> V. LIA -> RODRIGU1
2611-1,2611,NECOTV01,1.5,1,bfs,2410,VIVORATA_132kV,4,NECOTV01 -> NECOCHE1 -> QUEQUEN -> M.PLATA2 -> VIVORATA
2612-1,2612,NECOTV02,1.5,1,bfs,2298,OLAVARRI_132kV_2,4,NECOTV02 -> NECOCHE2 -> G.CHAVE1 -> CHILLAR -> OLAVARR2
2613-1,2613,NECOTV03,2.711,1,bfs,2410,VIVORATA_132kV,4,NECOTV03 -> NECOCHE1 -> QUEQUEN -> M.PLATA2 -> VIVORATA
2614-1,2614,NECOTV04,2.711,1,bfs,2298,OLAVARRI_132kV_2,4,NECOTV04 -> NECOCHE2 -> G.CHAVE1 -> CHILLAR -> OLAVARR2
2620-1,2620,ATU2NUCL,45.0,1,directo,2620,ATUCHA 2_21kV,0,
2625-1,2625,BROWTG01,5.0,1,directo,2625,GUIBROWN_20kV_1,0,
2626-1,2626,BROWTG02,5.0,1,directo,2626,GUIBROWN_20kV_2,0,
2627-1,2627,BROWTV01,16.0,1,directo,2627,GUIBROWN_20kV_3,0,
2629-1,2629,BBLATV29,15.0,1,directo,2629,PBUENA1_20kV,0,
2630-1,2630,BBLATV30,15.0,1,directo,2630,PBUENA2_20kV,0,
2670-1,2670,SIDETV,1.593,1,bfs,2292,CAMPANA_132kV_1,2,SIDETV -> DALMINE1 -> NCAMP1
2671-1,2671,SNICTV11,3.0,1,sin_conexion,,,-1,
2672-1,2672,SNICTV12,3.0,1,sin_conexion,,,-1,
2673-1,2673,SNICTV13,3.0,1,sin_conexion,,,-1,
2675-1,2675,SNICTV15,15.0,0,bfs,2105,RAMALLO_220kV,2,SNICTV15 -> SNICOLAS -> RAMALLOA
