bus_id,bus_name,bus_name_psse,bus_type,baskv_kv,ide,ide_desc,vm_pu,va_deg,lat,lon,parent_bus_id,name_geosadi
1661,C.H.CHOC_16kV_1,CHOCHI01,secondary,16.0,2,PV - active generator,1.0,27.2396,-39.2658521830318,-68.7566906701383,1018.0,
1662,C.H.CHOC_16kV_2,CHOCHI02,secondary,16.0,2,PV - active generator,1.0,27.2396,-39.2658521830318,-68.7566906701383,1018.0,
1663,C.H.CHOC_16kV_3,CHOCHI03,secondary,16.0,2,PV - active generator,1.0,27.2396,-39.2658521830318,-68.7566906701383,1018.0,
1664,C.H.CHOC_16kV_4,CHOCHI04,secondary,16.0,2,PV - active generator,1.0,27.2396,-39.2658521830318,-68.7566906701383,1018.0,
1665,C.H.CHOC_16kV_5,CHOCHI05,secondary,16.0,2,PV - active generator,0.97512,22.128,-39.2658521830318,-68.7566906701383,1018.0,
1666,C.H.CHOC_16kV_6,CHOCHI06,secondary,16.0,2,PV - active generator,0.97512,22.128,-39.2658521830318,-68.7566906701383,1018.0,
1671,L.LATA_11.5kV_1,LDLATG01,secondary,11.5,2,PV - active generator,0.99544,25.7203,-38.5126463370588,-68.604384133321,1020.0,
1672,L.LATA_11.5kV_2,LDLATG02,secondary,11.5,2,PV - active generator,1.02,25.7836,-38.5126463370588,-68.604384133321,1020.0,
1673,L.LATA_11.5kV_3,LDLATG03,secondary,11.5,2,PV - active generator,1.01571,19.1323,-38.5126463370588,-68.604384133321,1020.0,
1674,L.LATA_15.8kV,LDLATV01,secondary,15.75,2,PV - active generator,1.01571,19.1323,-38.5126463370588,-68.604384133321,1020.0,
1675,L.LATA_11.5kV_4,LDLATG04,secondary,11.5,2,PV - active generator,1.01571,19.1323,-38.5126463370588,-68.604384133321,1020.0,
1677,L.LATA_11.5kV_5,LDLATG05,secondary,11.5,2,PV - active generator,1.01571,19.1323,-38.5126463370588,-68.604384133321,1020.0,
1681,PPLEUFU_13.8kV_1,PPLEHI01,secondary,13.8,2,PV - active generator,1.01,32.9827,-40.0125443968064,-69.9843839303741,1022.0,
1682,PPLEUFU_13.8kV_2,PPLEHI02,secondary,13.8,2,PV - active generator,1.0,33.0427,-40.0125443968064,-69.9843839303741,1022.0,
1683,PPLEUFU_13.8kV_3,PPLEHI03,secondary,13.8,4,isolated - unit offline in snapshot,1.0,0.0,-40.0125443968064,-69.9843839303741,1022.0,
1691,P.BAND._16kV_1,PBANHI01,secondary,16.0,2,PV - active generator,0.98,24.0297,-38.5599413381222,-68.4729226719437,1024.0,
1692,P.BAND._16kV_2,PBANHI02,secondary,16.0,2,PV - active generator,1.01376,18.78,-38.5599413381222,-68.4729226719437,1024.0,
1803,CHOCONOE_13.2kV,CHNO.TER,secondary,13.2,1,PQ,1.00672,24.4658,-39.2373797693608,-68.7793992577695,1004.0,
1804,CH.CHOEL_13.2kV_1,CHOETER1,secondary,13.2,1,PQ,0.956,19.5615,-39.5683494675538,-65.6918994879858,1008.0,
1805,CHOCON_13.2kV_1,CHO.TER2,secondary,13.2,1,PQ,0.98084,24.4905,-39.2577787621801,-68.7481460243195,1000.0,
1806,CHOCON_13.2kV_2,CHO.TER4,secondary,13.2,1,PQ,0.98287,24.3709,-39.2577787621801,-68.7481460243195,1000.0,
1809,P.BAND._33kV,PBA2.TER,secondary,33.0,1,PQ,1.03692,19.471,-38.5599413381222,-68.4729226719437,1024.0,
1812,PUELCHE1_13.2kV,PUEL.TER,secondary,13.2,1,PQ,0.97118,2.8925,-38.1501427980517,-65.8229596357785,1026.0,
1813,A.CAJON_33kV_1,ACAJTER1,secondary,33.0,1,PQ,1.04299,32.3375,-38.9389597169173,-68.3559840709081,1025.0,
1814,A.CAJON_33kV_2,ACAJTER2,secondary,33.0,1,PQ,1.03908,28.5784,-38.9389597169173,-68.3559840709081,1025.0,
1815,MACACHIN_33kV_1,MACA.TER,secondary,33.0,4,isolated - unit offline in snapshot,1.0,0.0,-37.1513829345747,-63.5646568437383,1030.0,
1821,CH.CHOEL_13.2kV_2,CHOETER2,secondary,13.2,4,isolated - unit offline in snapshot,1.0,0.0,-39.5683494675538,-65.6918994879858,1008.0,
1823,MACACHIN_33kV_2,MAC.TER2,secondary,33.0,1,PQ,1.04173,-0.1822,-37.1513829345747,-63.5646568437383,1030.0,
2104,HENDERS2_220kV,HENDERSO,secondary,220.0,1,PQ,1.0069,2.1836,-36.3459532748237,-61.6706350630725,2006.0,
2105,RAMALLO_220kV,RAMALLOA,secondary,220.0,1,PQ,0.9854,-12.6839,-33.410509715451,-60.1801146838455,2090.0,
2206,B.BLANCA_132kV_1,B.BCA 1,secondary,132.0,1,PQ,1.03629,9.6782,-38.6573435823404,-62.0537662366225,2000.0,
2208,B.BLANCA_132kV_2,B.BCA2,secondary,132.0,1,PQ,1.03629,9.6782,-38.6573435823404,-62.0537662366225,2000.0,
2245,HENDERS2_132kV,HENDERS2,secondary,132.0,1,PQ,1.04201,-0.1204,-36.3459532748237,-61.6706350630725,2006.0,
2292,CAMPANA_132kV_1,NCAMP1,secondary,132.0,1,PQ,0.98349,-17.0887,-34.172919501134,-58.998793474739,2002.0,
2293,25MAYO_1_132kV,25MAY_01,secondary,132.0,1,PQ,1.05556,-7.397,-35.4813928083314,-60.0694998357488,2020.0,
2294,CAMPANA_132kV_2,NCAMP2,secondary,132.0,1,PQ,0.98349,-17.0887,-34.172919501134,-58.998793474739,2002.0,
2296,OLAVARRI_132kV_1,OLAVARR1,secondary,132.0,1,PQ,1.04571,1.8976,-36.8392209813632,-60.3439985899629,2008.0,
2298,OLAVARRI_132kV_2,OLAVARR2,secondary,132.0,1,PQ,1.04571,1.8976,-36.8392209813632,-60.3439985899629,2008.0,
2327,RAMALLO_132kV,RAMALLO2,secondary,132.0,1,PQ,1.04068,-13.9995,-33.410509715451,-60.1801146838455,2090.0,
2410,VIVORATA_132kV,VIVORATA,secondary,132.0,1,PQ,1.03231,1.9203,-37.6937382374297,-57.7318562501658,2050.0,
2501,B.BLANCA_13.2kV_1,BBL.TER1,secondary,13.2,1,PQ,1.01623,9.6866,-38.6573435823404,-62.0537662366225,2000.0,
2502,B.BLANCA_13.2kV_2,BBL.TER2,secondary,13.2,1,PQ,1.0163,9.6828,-38.6573435823404,-62.0537662366225,2000.0,
2503,HENDERS2_13.2kV_1,HEN.TER1,secondary,13.2,4,isolated - unit offline in snapshot,1.0,0.0,-36.3459532748237,-61.6706350630725,2006.0,
2505,OLAVARRI_13.2kV_1,OLAV13_01,secondary,13.2,1,PQ,0.99586,1.9665,-36.8392209813632,-60.3439985899629,2008.0,
2506,OLAVARRI_13.2kV_2,OLAV13_02,secondary,13.2,1,PQ,0.99557,1.971,-36.8392209813632,-60.3439985899629,2008.0,
2526,RAMALLO_33kV,RAM.TER3,secondary,33.0,4,isolated - unit offline in snapshot,1.0,0.0,-33.410509715451,-60.1801146838455,2090.0,
2531,OLAVARRI_13.2kV_3,OLAV13_03,secondary,13.2,4,isolated - unit offline in snapshot,1.0,0.0,-36.8392209813632,-60.3439985899629,2008.0,
2543,HENDERS2_13.8kV,HEN.TER3,secondary,13.8,1,PQ,1.0177,1.9216,-36.3459532748237,-61.6706350630725,2006.0,
2620,ATUCHA 2_21kV,ATU2NUCL,secondary,21.0,3,slack,1.05,0.0,-33.9710612890472,-59.2047888874971,2018.0,
2625,GUIBROWN_20kV_1,BROWTG01,secondary,20.0,2,PV - active generator,1.05,15.809,-38.6845710141409,-62.4157582655315,2001.0,
2626,GUIBROWN_20kV_2,BROWTG02,secondary,20.0,2,PV - active generator,1.05,16.838,-38.6845710141409,-62.4157582655315,2001.0,
2627,GUIBROWN_20kV_3,BROWTV01,secondary,20.0,4,isolated - unit offline in snapshot,1.0,0.0,-38.6845710141409,-62.4157582655315,2001.0,
2629,PBUENA1_20kV,BBLATV29,secondary,20.0,4,isolated - unit offline in snapshot,1.0,0.0,-38.7865967935072,-62.2517572173216,2014.0,
2630,PBUENA2_20kV,BBLATV30,secondary,20.0,4,isolated - unit offline in snapshot,1.0,0.0,-38.7865967935072,-62.2517572173216,2016.0,
2692,AES PARA_15kV_1,AESPTG01,secondary,15.0,2,PV - active generator,1.04,-3.1443,-33.3561959977471,-60.1696645086101,2092.0,
2693,AES PARA_15kV_2,AESPTG02,secondary,15.0,2,PV - active generator,1.04,-3.0247,-33.3561959977471,-60.1696645086101,2092.0,
2694,AES PARA_20kV,AESPTV01,secondary,20.0,2,PV - active generator,1.04,-1.7864,-33.3561959977471,-60.1696645086101,2092.0,
2695,BELGRANO1_20kV_1,GBELTG01,secondary,20.0,2,PV - active generator,1.05,-4.1064,-34.1860753074295,-59.0033994443289,2003.0,
2696,BELGRANO1_20kV_2,GBELTG02,secondary,20.0,2,PV - active generator,1.05,-4.1064,-34.1860753074295,-59.0033994443289,2003.0,
2697,BELGRANO1_20kV_3,GBELTV01,secondary,20.0,2,PV - active generator,1.05,-4.6202,-34.1860753074295,-59.0033994443289,2003.0,
2803,HENDERS2_13.2kV_2,HEN.TER2,secondary,13.2,4,isolated - unit offline in snapshot,1.0,0.0,-36.3459532748237,-61.6706350630725,2006.0,
2804,CAMPANA_13.2kV_1,NCAM.TER,secondary,13.2,1,PQ,0.98048,-16.7171,-34.172919501134,-58.998793474739,2002.0,
2823,CAMPANA_13.2kV_2,NCAM.TE2,secondary,13.2,1,PQ,0.98146,-16.8395,-34.172919501134,-58.998793474739,2002.0,
2827,RAMALLO_13.2kV_1,RAM.TER9,secondary,13.2,4,isolated - unit offline in snapshot,1.0,0.0,-33.410509715451,-60.1801146838455,2090.0,
2828,HENDERS2_13.2kV_3,HEN.TER7,secondary,13.2,1,PQ,1.08613,-0.3782,-36.3459532748237,-61.6706350630725,2006.0,
2829,25MAYO_1_33kV_1,25M.TER1,secondary,33.0,1,PQ,1.05333,-7.6117,-35.4813928083314,-60.0694998357488,2020.0,
2830,25MAYO_1_33kV_2,25M.TER2,secondary,33.0,1,PQ,1.05335,-7.61,-35.4813928083314,-60.0694998357488,2020.0,
2833,RAMALLO_13.2kV_2,RAM.TER4,secondary,13.2,1,PQ,0.97925,-13.3638,-33.410509715451,-60.1801146838455,2090.0,
2861,VIVORATA_33kV_1,VIV.TER1,secondary,33.0,1,PQ,1.0315,1.7664,-37.6937382374297,-57.7318562501658,2050.0,
2862,VIVORATA_33kV_2,VIV.TER2,secondary,33.0,1,PQ,1.03161,1.7875,-37.6937382374297,-57.7318562501658,2050.0,
3100,ABASTO_220kV,ABASTO,secondary,220.0,1,PQ,1.00541,-16.633,-34.9682263244852,-58.1649273229376,3002.0,
3110,EZEIZA_220kV_1,EZEIZA 2,secondary,220.0,1,PQ,1.01724,-13.1757,-34.9118465411849,-58.7246422149662,3000.0,
3112,EZEIZA_220kV_2,EZEIZA 3,secondary,220.0,1,PQ,1.01025,-14.2026,-34.9118465411849,-58.7246422149662,3000.0,
3120,RODRGUEZ_220kV_1,RODRIGU1,secondary,220.0,1,PQ,1.02954,-23.6294,-34.5299884514059,-58.9318933708823,3004.0,
3122,RODRGUEZ_220kV_2,RODRIGU2,secondary,220.0,1,PQ,1.02646,-23.4435,-34.5299884514059,-58.9318933708823,3004.0,
3201,EZEIZA_132kV_1,EZEIZA 1,secondary,132.0,1,PQ,1.00382,-13.7965,-34.9118465411849,-58.7246422149662,3000.0,
