bus_name_origen,geosadi_name,nemo,carrier,p_nom,marginal_cost_match,cost_source,CVP_manual,
MDPATG21,MAR DEL PLATA,MDPA,ocgt,19.7,YES,CVP_THERMAL,,
NEU1EO01,P.E. VIENTOS NEUQUINOS I,NEU1EO,wind,100,NO,mater,60.5,
PAMEEO01,P.E. PAMPA ENERGÍA (MATER),PAME,wind,53.2,NO,mater,62.9,
GARAEO01,P.E. GARAYALDE,GARAEO,wind,25,YES,CVP_RENOVAR,,
REALDI01,REALICO,REAL,diesel,24,YES,CVP_THERMAL,,
BARDDI01,BARRANQ. DISTRI,BARD,diesel,21.7,YES,CVP_THERMAL,,
AMEGHI01,F. AMEGHINO,AMEGHI,hydro,17.9,PENDING,,,
AMEGHI02,F. AMEGHINO,AMEGHI,hydro,17.9,PENDING,,,
SFRATG02,SAN FRANCISCO,SFRA,ocgt,18.6,YES,CVP_THERMAL,,
LEVATG02,LEVALLE,LEVA,ocgt,19.946,YES,CVP_THERMAL,,
LEVATG01,LEVALLE,LEVA,ocgt,19.942,YES,CVP_THERMAL,,
ELOMDI01,ENTRE LOMAS,ELOM,diesel,10.9083,YES,CVP_THERMAL,,
LDCUTG23,LUJAN DE CUYO,LDCU,ocgt,22.766,YES,CVP_THERMAL,,
LDCUTG24,LUJAN DE CUYO,LDCU,ocgt,22.76,YES,CVP_THERMAL,,
LEDE.TV02,LEDESMA,LEDE,ocgt,1.6837,NO,,LEDETV01,
SAUJFV01,P.S. Saujil,SAUJFV,solar,22.5,YES,CVP_RENOVAR,,
JUNIDI01,JUNIN,JUNI,diesel,20,YES,CVP_THERMAL,,
COLBDI01,COLON BSAS,COLB,diesel,14.5,YES,CVP_THERMAL,,
MIR1DI01,MIRAMAR I ENARS,MIR1,diesel,15.7,YES,CVP_THERMAL,,
NIH2HI06,NIHUIL 2,NIH2HI,hydro,18.3333,PENDING,,,
NIH2HI05,NIHUIL 2,NIH2HI,hydro,18.3333,PENDING,,,
NIH2HI04,NIHUIL 2,NIH2HI,hydro,18.3333,PENDING,,,
NIH2HI03,NIHUIL 2,NIH2HI,hydro,18.3333,PENDING,,,
NIH2HI02,NIHUIL 2,NIH2HI,hydro,18.3333,PENDING,,,
NIH2HI01,NIHUIL 2,NIH2HI,hydro,18.3333,PENDING,,,
ULLUHI02,ULLUM,ULLUHI,hydro,24,PENDING,,,
ULLUHI01,ULLUM,ULLUHI,hydro,24,PENDING,,,
CRIVTG23,CDRO RIVADAVIA,CRIV,ocgt,0,YES,CVP_THERMAL,,
SPENDI01,SAENZ PEÑA,SPEN,diesel,17,YES,CVP_THERMAL,,
BARIDI01,BARILOCHE ENARS,BARI,diesel,20,YES,CVP_THERMAL,,
PE32EO,P.E. PAMPA ENERGÍA III - AMPLIACIÓN 2,PE32,wind,27,NO,,,
ARREDI01,ARRECIFES ENARS,ARRE,diesel,1,YES,CVP_THERMAL,,
PEP3EO,P.E. PAMPA ENERGÍA III,PEP3,wind,54,NO,,,
FORDDI01,FORMOSA DELIVER,FORD,diesel,13,YES,CVP_THERMAL,,
FORDDI02,FORMOSA DELIVER,FORD,diesel,15,YES,CVP_THERMAL,,
ANATDI01,AÑATUYA,ANAT,diesel,19.2,YES,CVP_THERMAL,,
RAFADI01,RAFAELA,RAFA,diesel,19,YES,CVP_THERMAL,,
ALOMDI01,AG. LOMITAS,ALOM,diesel,13.6403,YES,CVP_THERMAL,,
NIH1HI01,NIHUIL 1,NIH1HI,hydro,18,PENDING,,,
NIH1HI02,NIHUIL 1,NIH1HI,hydro,18,PENDING,,,
NIH1HI04,NIHUIL 1,NIH1HI,hydro,18,PENDING,,,
NIH1HI03,NIHUIL 1,NIH1HI,hydro,18,PENDING,,,
CAIMDI05,CAIMANCITO,CAIM,diesel,18.2,YES,CVP_THERMAL,,
CAIMDI04,CAIMANCITO,CAIM,diesel,18.2,YES,CVP_THERMAL,,
CAIMDI03,CAIMANCITO,CAIM,diesel,18.2,YES,CVP_THERMAL,,
CAIMDI02,CAIMANCITO,CAIM,diesel,18.2,YES,CVP_THERMAL,,
CAIMDI01,CAIMANCITO,CAIM,diesel,18.2,YES,CVP_THERMAL,,
CEREDI01,CERES    ENARSA,CERE,diesel,18,YES,CVP_THERMAL,,
TINOFV,P.S. Tinogasta,TINOFV,solar,15,YES,CVP_RENOVAR,,
RCHITG01,RIO CHICO,RCHI,ocgt,0,YES,CVP_THERMAL,,
RCHITG02,RIO CHICO,RCHI,ocgt,0,YES,CVP_THERMAL,,
VGESTG14,VILLA GESELL,VGES,ocgt,14.3,YES,CVP_THERMAL,,
DIQUTG01,DIQUE,DIQU,ocgt,0,YES,CVP_THERMAL,,
DIQUTG03,DIQUE,DIQU,ocgt,11.9,YES,CVP_THERMAL,,
DIQUTG02,DIQUE,DIQU,ocgt,12.2,YES,CVP_THERMAL,,
DIQUTG04,DIQUE,DIQU,ocgt,13.93,YES,CVP_THERMAL,,
AVALTG21,ALTO VALLE,AVAL,ocgt,13.8546,YES,CVP_THERMAL,,
MDPATG12,MAR DEL PLATA,MDPA,ocgt,15.4,YES,CVP_THERMAL,,
PILBDI01,PILAR BSAS,PILB,diesel,16.73,YES,CVP_THERMAL,,
BBLMDI05,MOTOR. B.BLANCA,BBLM,diesel,16.67,YES,CVP_THERMAL,,
PILBDI03,PILAR BSAS,PILB,diesel,16.73,YES,CVP_THERMAL,,
PILBDI04,PILAR BSAS,PILB,diesel,16.73,YES,CVP_THERMAL,,
PILBDI05,PILAR BSAS,PILB,diesel,16.73,YES,CVP_THERMAL,,
PILBDI06,PILAR BSAS,PILB,diesel,16.73,YES,CVP_THERMAL,,
ARISDI01,A.D.VALL.ENARSA,ARIS,diesel,15,YES,CVP_THERMAL,,
BBLMDI06,MOTOR. B.BLANCA,BBLM,diesel,16.67,YES,CVP_THERMAL,,
PILBDI02,PILAR BSAS,PILB,diesel,16.73,YES,CVP_THERMAL,,
