gen_key,bus_id_origen,bus_name_origen,nombre_geosadi,falta,carrier,pg_mw,pt_mw,stat,lat,lon,geo_match,match_type,bus_conexion500kv,bus_conexion500kv_name,n_saltos,camino,COMENTARIOS
8908-1,8908,LFLOTV01,,geo,steam,30,35,1,,,sin_match,bfs,8230,BRACHO_132kV_2,3,LFLOTV01 -> LA FLORIDA -> CEV.POZO -> BRACHO1,
4600-1,4600,CALCTV11,,geo,steam,30,30,0,,,sin_match,bfs,4312,S.TOME_132kV_1,4,CALCTV11 -> CALCHINE -> PTO.STAFE -> PZACALCH -> S.TOME 1,
2634-3,2634,BRAGTG34,,geo,ocgt,29,30,1,,,sin_match,bfs,2104,HENDERS2_220kV,3,BRAGTG34 -> BRAGADO1 -> BRAGADO -> HENDERSO,
8676-1,8676,NONOFV01,P.S. Nonogasta,ok,solar,28,35,1,-29.33050605,-67.42438872,exacto,manual,8271,RIOJASUR_132kV,-1,,
3638-8,3638,DSUDTG08,DOCK SUD,ok,ocgt,30,33.6,1,-34.65318462,-58.34174439,exacto,manual,3110,EZEIZA_220kV_1,-1,,
3637-7,3637,DSUDTG07,DOCK SUD,ok,ocgt,33,33.6,1,-34.65318462,-58.34174439,exacto,manual,3110,EZEIZA_220kV_1,-1,,
629-1,629,ALUEO06,ALUAEO,ok,wind,16,31.5,1,-42.63511588,-65.28429632,manual,bfs,224,NPMADRYN_330kV,8,ALUEO06 -> WTG1A_HV -> WTG3_MV -> PEALUAUX -> PE_ALUAR -> AL-CEB -> APPA330C -> PMADR330 -> NPMAD330,
2634-4,2634,BRAGTG34,,geo,ocgt,29,30,1,,,sin_match,bfs,2104,HENDERS2_220kV,3,BRAGTG34 -> BRAGADO1 -> BRAGADO -> HENDERSO,
2639-5,2639,BRAGTG56,,geo,ocgt,29,30,1,,,sin_match,bfs,2104,HENDERS2_220kV,3,BRAGTG56 -> BRAGADO1 -> BRAGADO -> HENDERSO,
2639-6,2639,BRAGTG56,,geo,ocgt,29,30,0,,,sin_match,bfs,2104,HENDERS2_220kV,3,BRAGTG56 -> BRAGADO1 -> BRAGADO -> HENDERSO,
3640-1,3640,SHELTG01,AUTOPROD.SHELL,bus,ocgt,25,27,1,-34.65061012,-58.33176092,exacto,sin_conexion,,,-1,,
5615-5,5615,VAN5FV,,geo,solar,24,30,1,-42.63511588,-65.28429632,manual,bfs,5237,CHACO_132kV,4,VAN5FV -> VANGFV33 -> VANGFV132 -> S.BERNARDO -> CHACO,
8609-1,8609,CATADI01,,geo,diesel,22.4,22.4,1,,,sin_match,bfs,8292,RECREO_132kV,5,CATADI01 -> CATA.TER -> CATAMARC -> PICATA -> EM S.MARTIN -> RECREO,
4626-1,4626,VTUEDI01,,geo,diesel,22.4,22.4,1,,,sin_match,bfs,2245,HENDERS2_132kV,7,VTUEDI01 -> VTU.TER1 -> V.TUERTO -> RUFINO -> CHARLONE -> G.VILLEG -> PEHUAJO -> HENDERS2,
7642-2,7642,LDCUTG22,LUJAN DE CUYO,ok,ccgt,20,28.8,1,-33.05568314,-68.98082788,manual,bfs,7216,GRAN MZA_132kV,3,LDCUTG22 -> LUJ.CUYO -> CRUZPIED -> GRAN MZA,
7639-1,7639,ACONFV,,geo,solar,21.6,27,1,,,sin_match,bfs,7216,GRAN MZA_132kV,5,ACONFV -> ACONFV_13 -> LUJ.CUYO13 -> LUJ.CUYO -> CRUZPIED -> GRAN MZA,
1608-1,1608,GPICFV,,geo,solar,20,25,1,,,sin_match,bfs,1289,MACACHIN_132kV,5,GPICFV -> GEN.PICO_33 -> GEN.PICO -> M.MAYER -> S. ROSA -> MACACHIN,
4640-1,4640,SFOETG12,,geo,ocgt,19.5,19.5,0,,,sin_match,bfs,4312,S.TOME_132kV_1,2,SFOETG12 -> S.FE OES -> S.TOME 1,
4640-2,4640,SFOETG12,,geo,ocgt,19.5,19.5,0,,,sin_match,bfs,4312,S.TOME_132kV_1,2,SFOETG12 -> S.FE OES -> S.TOME 1,
7644-4,7644,LDCUTG24,LUJAN DE CUYO,ok,ocgt,20,22.8,1,-33.05568314,-68.98082788,manual,bfs,7216,GRAN MZA_132kV,3,LDCUTG24 -> LUJ.CUYO -> CRUZPIED -> GRAN MZA,
7643-3,7643,LDCUTG23,LUJAN DE CUYO,ok,ocgt,20,22.8,1,-33.05568314,-68.98082788,manual,bfs,7216,GRAN MZA_132kV,3,LDCUTG23 -> LUJ.CUYO -> CRUZPIED -> GRAN MZA,
627-1,627,ALUEO04,ALUAEO,ok,wind,11,22.5,1,-42.63511588,-65.28429632,manual,bfs,224,NPMADRYN_330kV,8,ALUEO04 -> WTG2A_HV -> WTG2_MV -> PEALUAUX -> PE_ALUAR -> AL-CEB -> APPA330C -> PMADR330 -> NPMAD330,
219-21,219,AEG,,ambos,ocgt,18,21,0,,,sin_match,sin_conexion,,,-1,,
219-22,219,AEG,,ambos,ocgt,18,21,0,,,sin_match,sin_conexion,,,-1,,
4656-12,4656,PARATG12,,geo,ocgt,18,19.2,0,,,sin_match,bfs,4247,GRAN.PNA_132kV,5,PARATG12 -> PARANA.E -> PARANA.S -> PARANA.O -> SBENITO2 -> GRAN.PNA,
4656-13,4656,PARATG12,,geo,ocgt,18,19.2,0,,,sin_match,bfs,4247,GRAN.PNA_132kV,5,PARATG12 -> PARANA.E -> PARANA.S -> PARANA.O -> SBENITO2 -> GRAN.PNA,
