gen_key,bus_name_origen,geosadi_name,carrier,bus,p_nom_mw,total_energy_mwh,average_power_mw,peak_power_mw,capacity_factor_pct
6641-1,LMO1HI01,LOS MOLINOS,hydro,ALMAFUE._132kV_2,12.0,367.42,2.19,2.37,18.23
8674-1,TIN2FV01,P.S. TINOGASTA II,solar,BRACHO_132kV_3,7.0,344.45,2.05,6.59,29.29
1699-1,ELOMDI01,ENTRE LOMAS,diesel,P.BAND._132kV,10.9083,332.04,1.98,6.45,18.12
7609-1,HESRFV,P.S.F.V HELIOS SANTA ROSA PV,solar,GRAN MZA_132kV,5.0,326.83,1.95,4.99,38.91
7684-1,SANDFV,Planta fotovoltaica Solar de los Andes (MATER),solar,GRAN MZA_132kV,5.0,321.86,1.92,4.99,38.32
6681-1,SROQHI01,SAN ROQUE,hydro,MALVINAS_132kV,6.0,293.47,1.75,1.8,29.11
6683-3,SROQHI03,SAN ROQUE,hydro,MALVINAS_132kV,6.0,293.47,1.75,1.8,29.11
6682-2,SROQHI02,SAN ROQUE,hydro,MALVINAS_132kV,6.0,293.47,1.75,1.8,29.11
6684-4,SROQHI04,SAN ROQUE,hydro,MALVINAS_132kV,6.0,293.47,1.75,1.8,29.11
8651-1,GUEMTV11,GUEMES,steam,JUANCITO_132kV,59.55,291.0,1.73,58.2,2.91
661-1,YPFATG01,YPF LOS PERALES,ocgt,SCN_500_132kV,17.7176,288.99,1.72,17.72,9.71
1655-2,LCA2TG01,Loma Campana 2,ocgt,P.BAND._132kV,98.9733,287.43,1.71,47.44,1.73
7638-1,HON4FV01,P.S. C. HONDA IV,solar,GRAN MZA_132kV,6.0,278.79,1.66,5.0,27.66
7624-1,UL42FV01,P.S. ULLUM 4 (AMPLIACION MATER),solar,NVA.SJUAN_132kV,7.0,257.95,1.54,4.19,21.93
7623-1,CVIEHI01,CTA. DEL VIENTO,hydro,NVA.SJUAN_132kV,10.55,245.98,1.46,4.31,13.88
6686-1,MSEVTG01,MARIO SEVESO,ccgt,MALVINAS_132kV,16.0543,241.42,1.44,13.54,8.95
3696-1,LPLADI01,LA PLATA,diesel,ABASTO_220kV,40.4,238.03,1.42,40.1,3.51
3678-8,PNUETV08,PUERTO NUEVO,steam,RODRGUEZ_220kV_2,117.9,230.86,1.37,112.9,1.17
2607-7,MDPATV07,MAR DEL PLATA,steam,VIVORATA_132kV,25.0,229.12,1.36,23.66,5.46
2673-3,SNICTV13,SAN NICOLAS,steam,RAMALLO_220kV,42.8,227.29,1.35,29.5,3.16
6625-1,SPUNFV01,S. de la Punta,solar,LUJAN.SL_132kV_2,5.0,222.85,1.33,4.74,26.53
